Val Latitude Sindat,Val Longitude Sindat,id_usina,Nome usina / conjunto com fonte,Cor,Fator selecionado
-28.446426,-49.607579,SCCEBJ,Conj. Bom Jardim (UEE),0-20%,0.161080020
-26.62411,-51.713252,SCCEAD,Conj. Água Doce (UEE),20-40%,0.250165029
-30.035524,-51.06321,RSVIA3,Conj. Viamão 3 (UEE),40-60%,0.416809635
-29.776727,-50.073596,RSUEXG,UEE Xangri-lá,20-40%,0.246498423
-30.079059,-50.172056,RSUECI,UEE Elebrás Cidreira 1,20-40%,0.318263755
-33.47352,-53.302226,RSSVPA,Conj. Santa Vitória do Palmar (UEE),20-40%,0.304309397
-32.07527778,-52.26722222,RSQ138,Conj. Quinta 138 kV (UEE),20-40%,0.347636387
-32.07527778,-52.26722222,RSQ69,Conj. Quinta 69 kV (UEE),20-40%,0.355846367
-33.1395,-52.99,RSMRO2,Conj. Marmeleiro 2 (UEE),20-40%,0.354360027
-29.901619,-50.308272,RSLBA,Conj. Lagoa dos Barros (UEE),20-40%,0.248379362
-30.785878,-55.758299,RSCNG,Conj. Eólico Livramento 3 (UEE),0-20%,0.057570965
-30.814751,-55.705452,RSCCH,Conj. Cerro Chato (UEE),20-40%,0.303722998
-29.895,-50.31388889,RSACA,Conj. Atlântica (UEE),20-40%,0.380085296
-5.094167,-35.886111,RNUVT,Conj. União dos Ventos (UEE),20-40%,0.253132768
-6.4060115,-35.7450845,RNUMR,Conj. Eólico Umari (UEE),0-20%,0.158792751
-5.129444,-36.449722,RNUES3,UEE Miassaba 3,0-20%,0.163260981
-5.100897,-36.202069,RNUERU,UEE Rei dos Ventos 1,0-20%,0.153117210
-5.118831,-36.163206,RNUERT,UEE Rei dos Ventos 3,0-20%,0.133596366
-5.115283,-36.384401,RNUAU,UEE Alegria I,0-20%,0.152690966
-5.097279,-36.402501,RNUAD,UEE Alegria II,0-20%,0.119560173
-5.256866,-36.057486,RNTSN,Conj. Terra Santa (UEE),20-40%,0.202615293
-5.261185,-35.920164,RNSTC,Conj. Santa Clara (UEE),0-20%,0.137491356
-6.053889,-36.498056,RNSS3,Conj. Serra de Santana 3 (UEE),20-40%,0.293078669
-6.081667,-36.5775,RNSS2,Conj. Serra de Santana 1 e 2 (UEE),20-40%,0.272947216
-5.91373216,-36.15622061,RNSMN,Conj. Santa Rosa Mundo Novo (UEE),20-40%,0.300580114
-5.267217,-35.786178,RNSMG,Conj. São Miguel (UEE),20-40%,0.263770255
-5.2719718,-37.11385633,RNSM2B,Conj. Serra do Mel II B (UEE),20-40%,0.289333435
-5.2719718,-37.11385633,RNSM2A,Conj. Serra do Mel II A (UEE),20-40%,0.253196165
-5.131425,-37.049532,RNSDMB,Conj. Serra do Mel B (UEE),20-40%,0.268121562
-5.131425,-37.049532,RNSDMA,Conj. Serra do Mel A (UEE),20-40%,0.258883951
-5.5753819,-36.2180057,RNSAG,Conj. Santo Agostinho (UEE),0-20%,0.117478428
-5.354814,-36.003442,RNSAB,Conj. Asa Branca (UEE),0-20%,0.149748734
-5.8088278,-36.1132356,RNRVE,Conj. Rio do Vento Expansão (UEE),20-40%,0.271095676
-5.551706,-35.447243,RNRIA,Conj. Riachão (UEE),0-20%,0.178768805
-5.272958,-35.868772,RNREV,Conj. Renascença V (UEE),20-40%,0.232497449
-5.292111,-35.886385,RNREN,Conj. Renascença (UEE),20-40%,0.201837547
-5.890822,-35.96082,RNRDV,Conj. Rio do Vento (UEE),20-40%,0.309733745
-5.064175,-35.977483,RNODA,Conj. Olho d'Água (UEE),20-40%,0.242206398
-5.37155,-35.884986,RNMVT,Conj. Morro dos Ventos II (UEE),0-20%,0.193785642
-5.373736,-35.884864,RNMVD,Conj. Morro dos Ventos (UEE),0-20%,0.172590608
-5.172742,-36.359399,RNMSC,Conj. Mangue Seco (UEE),0-20%,0.179654394
-5.420278,-35.896944,RNMOD,Conj. Modelo (UEE),20-40%,0.229672037
,-5.20263943,RNMNV6,UEE Mundo Novo VI,80-100%,0.813233539
,,RNMNV,Conjunto Eolico Mundo Novo (UEE),20-40%,0.242411493
-5.176287,-36.031974,RNMNR,Conj. Monte do Ronca (UEE),0-20%,0.181570945
-5.398675,-35.848341,RNMAC,Conj. Macacos (UEE),0-20%,0.196957740
-5.6596926,-36.1216979,RNJER,Conj. Jerusalém (UEE),20-40%,0.273065470
-5.4108145,-36.0188632,RNJDT,Conj. Jandaíra III (UEE),20-40%,0.212990852
-5.4107666,-36.0191371,RNJDA,Conj. Jandaíra I (UEE),20-40%,0.243074985
-5.24182797,-35.48799262,RNGAM,Conj. Gameleira (UEE),20-40%,0.254005748
-4.981389,-36.996667,RNFIG,Conj. Filgueira (UEE),20-40%,0.308570246
-5.18008087,-36.02865673,RNESF4,UEE São Fernando 4,0-20%,0.178974093
-5.44837,-36.20106,RNEMVD,Conj. Monte Verde (UEE),20-40%,0.265546457
-6.0916316,-36.64797899,RNEBST,UEE Baixa do Sítio,20-40%,0.221436679
-5.119361,-35.928867,RNCUT,Conj. Cutia (UEE),20-40%,0.228466462
-6.786298,-36.669447,RNCSER,Conj. Oeste Serido (UEE),20-40%,0.332331430
-5.475722,-35.985444,RNCPD,Conj. Cabeço Preto II (UEE),20-40%,0.264184695
-5.151389,-35.665,RNCNB,Conj. Carnaúbas (UEE),20-40%,0.245246085
-5.1615854,-35.8014432,RNCMR,Conj. Cumaru (UEE),20-40%,0.251822129
-5.332889,-35.9455,RNCDV,Conj. Campo dos Ventos (UEE),0-20%,0.190524099
-5.6862977,-36.2687218,RNCAJ1,Conj. Caju (UEE),0-20%,0.161088355
-4.981389,-36.996667,RNCAD,Conj. Carcará II (UEE),20-40%,0.271135149
-6.039539,-36.489331,RNCA3,Conj. Calango 3 (UEE),20-40%,0.326972851
-6.039104,-36.489338,RNCA2,Conj. Calango 2 (UEE),20-40%,0.229250750
-6.045274,-36.536954,RNCA1,Conj. Calango 1 (UEE),20-40%,0.220144183
-5.294071,-35.797937,RNBSL,Conj. Bloco Sul (UEE),20-40%,0.247436563
-5.254889,-35.849083,RNBP1,Conj. Brisa Potiguar I (UEE),0-20%,0.173212859
-5.35299,-36.050679,RNBFJ,Conj. Baixa do Feijão (UEE),0-20%,0.165847432
-5.33508,-35.774947,RNAVD,Conj. Aventura (UEE),20-40%,0.325299446
-6.205313,-36.593134,RNANE,Conj. Anemus (UEE),20-40%,0.202494351
-5.016667,-36.9375,RNAMZ,Conj. Amazonas (UEE),20-40%,0.254648630
-5.324612,-36.506188,RNAFB,Conj. Afonso Bezerra (UEE),20-40%,0.239437605
-6.1113345,-36.645479,RNACA,Conj. Acauã (UEE),0-20%,0.167409956
-4.963689,-36.916961,RNABR,Conj. Areia Branca (UEE),0-20%,0.176902666
-8.8729089,-41.5951583,PIVSR,Conj. São Roque (UEE),0-20%,0.179141337
-7.990732,-40.574048,PIVDP3,Conj. Ventos do Piauí III (UEE),20-40%,0.224332893
-8.041973,-40.67067,PIVDP2,Conj. Ventos do Piauí II (UEE),20-40%,0.268507426
-7.396478,-40.579867,PISBAE,Conj. São Basílio (Eólico) (UEE),20-40%,0.224046069
-9.04034,-41.734691,PIOIT,Conj. Oitis (UEE),20-40%,0.205048848
-8.734466,-41.510905,PILDV,Conj. Lagoa dos Ventos (UEE),20-40%,0.277597197
-8.673665,-41.605746,PILBI,Conj. Lagoa do Barro I (UEE),20-40%,0.238057688
-8.034175,-40.638925,PICPH,Conj. Chapadinha (UEE),20-40%,0.264455636
-7.3909869,-40.683098,PICP3,Conj. Chapada III (UEE),0-20%,0.195235157
-7.476417,-40.758264,PICP2,Conj. Chapada II (UEE),0-20%,0.182526702
-7.561903,-40.715694,PICH1,Conj. Chapada I (UEE),0-20%,0.199791524
-7.770803,-40.676658,PIAR3,Conj. Araripe III (UEE),20-40%,0.213480028
-8.908411,-36.733167,PEPAR,Conj. Paranatama (UEE),20-40%,0.305783457
-9.018494,-38.057287,PEFVD,Conj. Tacaratu II (UEE),0-20%,0.098704754
-9.059308,-38.131647,PEETAT,Conj. Tacaratu (Eólico) (UEE),20-40%,0.301236147
-8.7594,-36.73615,PECLE,Conj. São Clemente (UEE),40-60%,0.428411021
-8.843286,-36.76005,PECE2,Conj. Caetés II (UEE),20-40%,0.377860156
-6.99054,-36.79922,PBCSDS,Conj. Serra do Seridó (UEE),20-40%,0.287537210
-6.983396,-36.887927,PBCHSD,Conj. Chafariz Sul II (UEE),20-40%,0.259566569
-6.971064,-36.879495,PBCHS,Conj. Chafariz Sul I (UEE),20-40%,0.265013566
-6.882065,-36.814212,PBCHN,Conj. Chafariz Norte (UEE),20-40%,0.248116499
-2.727222,-42.596389,MAPLN,Conj. Paulino Neves (UEE),20-40%,0.332203608
-2.919422,-41.03165,CEUFM,UEE Praia Formosa,0-20%,0.145764675
-3.019181,-39.678686,CEUCZ,UEE Icaraizinho,0-20%,0.184731266
-3.24256,-39.296244,CETRA,Conj. Trairí (UEE),20-40%,0.207063382
-3.54626,-38.888802,CETBA,Conj. Taíba (UEE),20-40%,0.230198696
-3.86925,-41.18235,CESRO,Conj. Santa Rosália (UEE),40-60%,0.401373540
-3.302,-39.349,CESERA,Conj. Serrote A (UEE),0-20%,0.191648108
-3.302,-39.349,CESEM,Conj. Serra do Mato (UEE),0-20%,0.198112041
-4.605374,-37.647351,CEPTM,Conj. Pitombeira (UEE),0-20%,0.195244158
-2.884306,-39.994861,CEPPG,Conj. Papagaios (UEE),0-20%,0.181469206
-4.4088,-37.8442,CEJAN,Conj. Jandaia (UEE),20-40%,0.212313360
-2.965278,-39.889444,CEITC,Conj. Itarema V (UEE),0-20%,0.186849329
-3.095934,-39.601742,CEICR,Conj. Icaraí (UEE),0-20%,0.186333048
-3.341129,-39.260423,CEFSA,Conj. Faísa (UEE),0-20%,0.158351593
-4.786933,-37.305958,CEESTI,Conj. Santo Inácio (UEE),20-40%,0.267744492
-3.946613,-41.123035,CEEMAU,UEE Malhadinha 1,20-40%,0.368706406
-2.84144239,-40.06614308,CEECVA,UEE Cataventos Acaraú I,0-20%,0.155974039
-3.005833,-39.7375,CECHE,Conj. Pedra Cheirosa (UEE),20-40%,0.255476729
-3.906111,-41.042783,CECBS,Conj. Cacimbas (UEE),20-40%,0.341899257
-2.9276583,-40.1143516,CEAUD,Conj. Acaraú II (UEE),20-40%,0.218760651
-4.488019,-37.763092,CEARD,Conj. Aracati II (UEE),0-20%,0.182791168
-11.4286955,-42.168094,BAVSE,Conj. Santa Eugênia (UEE),0-20%,0.115252228
-11.9814,-41.4906,BAVBA,Conj. Ventos da Bahia (UEE),20-40%,0.345661925
-12.098415,-41.499969,BAVB3,Conj. Ventos da Bahia III (UEE),0-20%,0.150196817
-11.9814,-41.4906,BAVB2,Conj. Ventos da Bahia 2 (UEE),0-20%,0.128773704
-10.6708,-41.5686,BAUBN,Conj. Umburanas (UEE),20-40%,0.321609496
-11.2859,-38.7912,BATUC,Conj. Tucano (UEE),20-40%,0.231007535
-13.6895183,-42.5829281,BATQN,Conj. Tanque Novo (UEE),20-40%,0.236159227
-13.888742,-42.693028,BATBR,Conj. Tamboril I (UEE),0-20%,0.104323157
-13.888453,-42.693042,BATBD,Conj. Tamboril II (UEE),0-20%,0.173052022
-10.956667,-42.538016,BASVT,Conj. Ventos de São Vitor (UEE),0-20%,0.122474544
-11.1046611,-41.32873333,BASDB,Conj. Serra da Babilônia (UEE),20-40%,0.286184085
-11.866389,-41.458394,BASAZ,Conj. Serra Azul (UEE),20-40%,0.377014435
-14.009272,-42.67269,BAQUN,Conj. Quina (UEE),0-20%,0.168618486
-14.509293,-42.588387,BAPEL,Conj. Pelourinho (UEE),20-40%,0.359755176
-9.856667,-41.09,BAPBR,Conj. Pedra Branca (UEE),0-20%,0.173845821
-10.8745,-41.3399,BAOUR,Conjunto Eólico Ourolândia II (UEE),20-40%,0.330468815
,,BANHZ,Conj. Eolico Novo Horizonte (UEE),0-20%,0.079529139
-14.128731,-42.681442,BAMOR,Conj. Morrão (UEE),0-20%,0.197990531
-11.592894,-41.315428,BAMCS,Conj. Morro do Chapéu Sul (UEE),40-60%,0.428560823
